Año;Mes;Mesid;Tipo barco;idtipobarco;Cabotajeoexterior;Idcabotajeoexterior;Escalas;ESC GT
2015;201501;1;Tancs;11;Cabotatge;C;8;68.596
2015;201501;1;Tancs;11;Exterior;E;61;1.150.309
2015;201501;1;Granelers;12;Exterior;E;14;242.373
2015;201501;1;Càrrega (Lo-Lo);13;Cabotatge;C;1;4.942
2015;201501;1;Càrrega (Lo-Lo);13;Exterior;E;46;215.315
2015;201501;1;Petroliers;14;Exterior;E;3;113.541
2015;201501;1;Transbordadors;15;Cabotatge;C;99;2.329.008
2015;201501;1;Transbordadors;15;Exterior;E;62;2.540.938
2015;201501;1;Passatge;16;Exterior;E;25;2.573.507
2015;201501;1;Portacontenidors;17;Cabotatge;C;22;248.255
2015;201501;1;Portacontenidors;17;Exterior;E;140;5.854.741
2015;201501;1;Ro-Ro;20;Cabotatge;C;5;52.355
2015;201501;1;Ro-Ro;20;Exterior;E;24;814.352
2015;201501;1;Car-carrier;21;Cabotatge;C;4;60.896
2015;201501;1;Car-carrier;21;Exterior;E;39;1.519.344
2015;201502;2;Tancs;11;Cabotatge;C;3;17.061
2015;201502;2;Tancs;11;Exterior;E;50;931.128
2015;201502;2;Granelers;12;Cabotatge;C;1;19.712
2015;201502;2;Granelers;12;Exterior;E;10;269.849
2015;201502;2;Càrrega (Lo-Lo);13;Cabotatge;C;2;7.790
2015;201502;2;Càrrega (Lo-Lo);13;Exterior;E;32;114.027
2015;201502;2;Petroliers;14;Exterior;E;2;52.353
2015;201502;2;Transbordadors;15;Cabotatge;C;97;2.065.263
2015;201502;2;Transbordadors;15;Exterior;E;66;2.644.708
2015;201502;2;Passatge;16;Exterior;E;18;1.939.994
2015;201502;2;Portacontenidors;17;Cabotatge;C;24;362.674
2015;201502;2;Portacontenidors;17;Exterior;E;128;5.760.611
2015;201502;2;Ro-Ro;20;Cabotatge;C;2;20.942
2015;201502;2;Ro-Ro;20;Exterior;E;25;768.162
2015;201502;2;Car-carrier;21;Cabotatge;C;4;60.896
2015;201502;2;Car-carrier;21;Exterior;E;44;1.951.221
2015;201503;3;Tancs;11;Cabotatge;C;3;35.656
2015;201503;3;Tancs;11;Exterior;E;65;917.723
2015;201503;3;Granelers;12;Exterior;E;5;170.587
2015;201503;3;Càrrega (Lo-Lo);13;Cabotatge;C;1;4.942
2015;201503;3;Càrrega (Lo-Lo);13;Exterior;E;48;192.009
2015;201503;3;Petroliers;14;Exterior;E;5;341.781
2015;201503;3;Transbordadors;15;Cabotatge;C;108;2.432.976
2015;201503;3;Transbordadors;15;Exterior;E;73;2.936.447
2015;201503;3;Passatge;16;Cabotatge;C;1;15.067
2015;201503;3;Passatge;16;Exterior;E;25;2.645.542
2015;201503;3;Portacontenidors;17;Cabotatge;C;24;356.531
2015;201503;3;Portacontenidors;17;Exterior;E;151;6.597.037
2015;201503;3;Ro-Ro;20;Cabotatge;C;6;83.353
2015;201503;3;Ro-Ro;20;Exterior;E;35;1.220.805
2015;201503;3;Car-carrier;21;Cabotatge;C;4;60.896
2015;201503;3;Car-carrier;21;Exterior;E;50;2.176.282
2015;201504;4;Tancs;11;Cabotatge;C;5;38.576
2015;201504;4;Tancs;11;Exterior;E;57;917.567
2015;201504;4;Granelers;12;Exterior;E;9;258.045
2015;201504;4;Càrrega (Lo-Lo);13;Cabotatge;C;2;8.738
2015;201504;4;Càrrega (Lo-Lo);13;Exterior;E;47;210.653
2015;201504;4;Petroliers;14;Exterior;E;4;218.390
2015;201504;4;Transbordadors;15;Cabotatge;C;117;2.720.197
2015;201504;4;Transbordadors;15;Exterior;E;72;2.916.417
2015;201504;4;Passatge;16;Cabotatge;C;7;330.362
2015;201504;4;Passatge;16;Exterior;E;72;5.881.892
2015;201504;4;Portacontenidors;17;Cabotatge;C;28;534.246
2015;201504;4;Portacontenidors;17;Exterior;E;161;6.719.780
2015;201504;4;Ro-Ro;20;Cabotatge;C;7;73.297
2015;201504;4;Ro-Ro;20;Exterior;E;31;880.590
2015;201504;4;Car-carrier;21;Cabotatge;C;5;76.120
2015;201504;4;Car-carrier;21;Exterior;E;48;2.031.948
2015;201505;5;Tancs;11;Cabotatge;C;8;48.729
2015;201505;5;Tancs;11;Exterior;E;65;1.026.320
2015;201505;5;Granelers;12;Exterior;E;11;323.729
2015;201505;5;Càrrega (Lo-Lo);13;Cabotatge;C;1;3.911
2015;201505;5;Càrrega (Lo-Lo);13;Exterior;E;57;250.043
