,dates,Viajeros_Tot
0,2015-01-01,430539
1,2015-02-01,475019
2,2015-03-01,589585
3,2015-04-01,688490
4,2015-05-01,751468
5,2015-06-01,733288
6,2015-07-01,761856
7,2015-08-01,761402
8,2015-09-01,700268
9,2015-10-01,727660
10,2015-11-01,580714
11,2015-12-01,494011
12,2016-01-01,473184
13,2016-02-01,534274
14,2016-03-01,652838
15,2016-04-01,714987
16,2016-05-01,749657
17,2016-06-01,756496
18,2016-07-01,824247
19,2016-08-01,772131
20,2016-09-01,744978
21,2016-10-01,740023
22,2016-11-01,612747
23,2016-12-01,554376
24,2017-01-01,543072
25,2017-02-01,567552
26,2017-03-01,697338
27,2017-04-01,772018
28,2017-05-01,779465
29,2017-06-01,775924
30,2017-07-01,836068
31,2017-08-01,752479
32,2017-09-01,741287
33,2017-10-01,709856
34,2017-11-01,572453
35,2017-12-01,527007
36,2018-01-01,544795
37,2018-02-01,574681
38,2018-03-01,702521
39,2018-04-01,759453
40,2018-05-01,793903
41,2018-06-01,816689
42,2018-07-01,848546
43,2018-08-01,808370
44,2018-09-01,766597
45,2018-10-01,800314
46,2018-11-01,678054
47,2018-12-01,604840
48,2019-01-01,594803
49,2019-02-01,628643
50,2019-03-01,755384
51,2019-04-01,829641
52,2019-05-01,860744
53,2019-06-01,850450
54,2019-07-01,899614
55,2019-08-01,849994
56,2019-09-01,793388
57,2019-10-01,844523
58,2019-11-01,704761
59,2019-12-01,635635
60,2020-01-01,619351
61,2020-02-01,621908
62,2020-03-01,238053
63,2020-04-01,0
64,2020-05-01,0
65,2020-06-01,0
66,2020-07-01,110872
67,2020-08-01,111626
68,2020-09-01,94434
69,2020-10-01,83061
70,2020-11-01,60732
71,2020-12-01,90739
72,2021-01-01,68844
73,2021-02-01,83523
74,2021-03-01,100392
75,2021-04-01,106692
