Categoría: Todas las categorías

Mes,hotel barcelona
2015-01,67
2015-02,75
2015-03,88
2015-04,79
2015-05,86
2015-06,88
2015-07,100
2015-08,89
2015-09,81
2015-10,77
2015-11,76
2015-12,65
2016-01,68
2016-02,83
2016-03,78
2016-04,84
2016-05,89
2016-06,87
2016-07,97
2016-08,88
2016-09,87
2016-10,84
2016-11,77
2016-12,62
2017-01,73
2017-02,78
2017-03,81
2017-04,84
2017-05,87
2017-06,89
2017-07,93
2017-08,81
2017-09,79
2017-10,62
2017-11,66
2017-12,64
2018-01,67
2018-02,69
2018-03,79
2018-04,75
2018-05,71
2018-06,77
2018-07,90
2018-08,80
2018-09,80
2018-10,79
2018-11,65
2018-12,66
2019-01,62
2019-02,68
2019-03,72
2019-04,69
2019-05,71
2019-06,75
2019-07,82
2019-08,82
2019-09,72
2019-10,77
2019-11,63
2019-12,64
2020-01,60
2020-02,69
2020-03,34
2020-04,13
2020-05,15
2020-06,26
2020-07,36
2020-08,38
2020-09,34
2020-10,28
2020-11,24
2020-12,30
2021-01,26
2021-02,30
2021-03,35
2021-04,31
2021-05,34
